lfdn;duration;Group;Gender;Age;Education;SocialStatus;MaritalStatus;Relationship;TinderAcc;AccFreqUse;DatingYesNo;Socialiazing1;Socialiazing2;SocPress1;Socpress2;Socapprov1;Socapprov2;Entetain1;Entertain2;PassTime1;PassTime2;RelSeek1;RelSeek2;InfoSeek1;InfoSeek2;SexualExp1;SexualExp2;SexualExp3;Rosenberg1;Rosenberg2;Rosenberg3;Rosenberg4;Rosenberg5;Rosenberg6;Rosenberg7;Rosenberg8;Rosenberg9;Rosenberg10;BAS1;BAS2;BAS3;BAS4 ;BAS5;BAS6;BAS7;BAS8;BAS9;BAS10;BAS11;BAS12;BAS13;Sport1;Sport2;Attention1;Attention2;Attention3;Attention4;Motor1;Motor2;Motor3;FuturePlan1;FuturePlan2;FuturePlan3;FuturePlan4
1;378;NonUser;Female;25;University;EmployesStudent;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;1;2;0;3;1;0;1;2;2;2;2;1;2;3;3;4;3;4;1;2;2;1;1;4;3;4;2;3;2;2;4;3;3;1
2;505;User;Male;22;University;EmployesStudent;Single;RelOpen;Yes;3;1;1;1;3;3;3;2;2;2;1;1;1;2;3;3;2;3;3;2;0;0;1;3;2;2;2;3;0;2;2;2;1;3;4;2;2;2;1;2;1;1;2;2;1;2;2;1;4;3;3;2;1;1;2
3;460;User;Male;24;University;Student;Single;PunctSex;Yes;4;1;3;1;2;1;3;2;1;1;1;1;2;3;3;2;1;3;2;2;1;0;2;1;2;1;3;2;1;1;2;1;2;2;3;2;3;2;2;2;3;2;1;2;2;2;2;2;3;1;2;3;3;2;2
4;291;User;Female;23;University;Student;Single;None;Yes;4;1;1;1;1;3;2;2;1;1;3;1;2;2;1;1;1;2;2;2;0;0;3;3;0;1;0;3;1;2;2;3;2;2;2;1;4;4;2;2;4;2;1;1;4;4;4;1;1;3;4;1;4;2;3
5;826;User;Male;26;University;Unemployed;Single;None;Yes;5;1;1;1;3;3;2;1;1;1;1;1;1;3;1;3;3;3;3;2;1;0;3;2;2;1;2;2;2;1;1;2;1;1;4;2;3;4;1;1;3;2;1;1;1;1;3;1;4;1;1;2;3;4;2
6;433;User;Male;25;University;EmployesStudent;Single;PunctSex;Yes;4;2;1;2;3;1;3;3;1;1;1;1;2;2;3;3;2;2;2;2;0;1;3;2;0;2;2;2;1;2;2;2;2;2;3;2;2;2;2;2;2;2;2;3;3;2;3;2;3;3;3;2;3;2;2
7;359;NonUser;Female;23;University;Student;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;2;2;2;1;2;1;3;3;3;3;2;2;2;2;3;3;2;1;2;3;2;4;3;3;1;3;4;3;1;3;1;1
8;410;User;Female;22;University;EmployesStudent;Single;None;Yes;3;1;3;2;3;2;2;1;2;3;1;1;2;1;2;3;3;3;3;2;0;1;3;3;0;2;2;3;1;2;3;3;3;2;2;2;3;3;2;2;3;3;2;2;1;2;3;1;3;2;2;2;2;1;2
9;349;NonUser;Female;25;University;EmployesStudent;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;3;2;1;0;3;3;0;1;2;2;4;4;4;4;2;2;3;3;4;2;2;3;2;2;4;2;4;1;3;3;2;2;3;2;2
10;367;User;Male;23;University;EmployesStudent;Single;None;Yes;4;1;1;1;3;1;3;1;1;1;3;1;1;2;3;3;2;2;2;2;0;0;3;3;1;1;3;3;0;1;2;1;1;2;4;2;3;2;1;2;1;2;2;1;2;1;2;1;3;1;2;2;2;2;1
11;283;User;Female;22;University;Student;Single;None;Yes;3;2;3;1;3;1;3;2;1;2;1;1;1;3;1;3;3;1;2;2;2;0;2;1;2;2;1;2;1;3;3;3;3;2;2;3;3;3;3;2;2;2;2;3;1;2;2;1;2;3;2;3;1;2;1
12;429;NonUser;Male;25;Secondary;Employed;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;0;3;2;2;1;3;3;1;2;3;2;1;1;3;3;3;2;2;3;2;1;1;3;3;3;1;1;4;3;3;2;2;2;2
13;248;NonUser;Female;23;University;EmployesStudent;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;0;1;2;3;0;1;2;3;0;1;1;2;1;1;3;2;2;1;2;2;1;1;3;3;2;2;4;2;3;1;2;1;2;1;1
14;336;NonUser;Male;26;University;Employed;Single;PunctSex;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;1;3;3;1;2;3;3;0;1;2;2;1;2;3;1;3;4;1;1;1;2;1;1;3;1;3;2;4;2;2;4;4;2;3
15;254;NonUser;Male;24;University;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;0;3;2;1;2;2;2;1;2;2;2;2;2;3;3;1;1;2;3;2;2;3;3;3;2;3;2;2;2;2;4;4;3;3
16;349;User;Female;26;University;EmployesStudent;Single;PunctSex;Yes;4;1;1;1;3;3;3;2;1;1;2;1;1;3;3;3;1;3;1;2;1;1;2;2;1;2;2;2;1;2;2;2;1;2;3;2;2;1;2;3;1;2;3;3;3;3;3;2;3;2;3;2;4;3;3
17;280;NonUser;Male;26;University;Employed;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;2;2;2;1;2;0;2;1;2;1;2;3;1;2;2;1;2;2;2;3;2;2;2;2;2;3;3;3;3;2;3;3
